Row,Video,Time,Behaviour,Description
8,8,09:15:00,Procedural Adherence - Proportionality - force level matches citizen resistance,[REDACTED]
9,8,09:33:00,Citizen Behaviour - Non-compliant (verbal),[REDACTED]
10,8,10:16:00,"Citizen Behaviour - Escalation (e.g., raised voices, introduction of swearing language) ",[REDACTED]
11,8,10:16:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
12,8,10:20:00,Maladaptive - Sarcastic / punitive / attacking,[REDACTED]
13,8,10:37:00,Maladaptive - Argumentative / judgmental / competitive,[REDACTED]
14,8,11:58:00,Participation - Allows third parties to speak,[REDACTED]
15,8,11:59:00,Participation - Positively acknowledges citizens views,[REDACTED]
16,8,11:59:00,"Dignity & Respect - Uses informal, humanising conversation where appropriate",[REDACTED]
17,8,12:00:00,Citizen Behaviour - Arrest made ,[REDACTED]
1,9,00:39:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
2,9,01:13:00,"Procedural Adherence - De-escalation attempt - verbal commands, time given to comply, space given",[REDACTED]
3,9,01:22:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
4,9,01:29:00,Maladaptive - Irritable / distrustful / resentful,[REDACTED]
5,9,01:31:00,Procedural Adherence - Necessary - verbal warning before force (unless immediate threat),[REDACTED]
6,9,01:36:00,Citizen Behaviour - Resistant (verbal),[REDACTED]
7,9,01:36:00,Citizen Behaviour - Non-compliant (physical),[REDACTED]
8,9,01:36:00,Citizen Behaviour - Resistant (physical),[REDACTED]
9,9,01:41:00,Procedural Adherence - Necessary - verbal warning before force (unless immediate threat),[REDACTED]
10,9,01:41:00,Citizen Behaviour - Resistant (physical),[REDACTED]
11,9,01:42:00,Procedural Adherence - Proportionality - force level matches citizen resistance,[REDACTED]
12,9,01:50:00,Citizen Behaviour - Handcuffs used,[REDACTED]
13,9,01:51:00,Citizen Behaviour - Arrest made,[REDACTED]
14,9,01:51:00,Procedural Adherence - Lawful - legal power (if applicable),[REDACTED]
15,9,01:56:00,Procedural Adherence - Stop force once compliance achieved,[REDACTED]
16,9,02:50:00,Participation - Answers questions or explains request rejections,[REDACTED]
17,9,02:51:00,Citizen Behaviour - Cooperative,[REDACTED]
18,9,03:04:00,Maladaptive - Sarcastic / punitive / attacking,[REDACTED]
19,9,03:12:00,Maladaptive - Other relevant behaviour likely in this category (provide further detail),[REDACTED]
20,9,03:36:00,Citizen Behaviour - Search conducted,[REDACTED]
21,9,03:36:00,Citizen Behaviour - Cooperative,[REDACTED]
22,9,03:46:00,Maladaptive - Disengaged / formulaic / conflict avoidant,[REDACTED]
23,9,03:57:00,Fairness & Neutrality - Explains process / signposts what will happen next,[REDACTED]
24,9,04:02:00,Trustworthy Motives - Shows empathy / concern,[REDACTED]
25,9,04:30:00,Participation - Allows third parties to speak,[REDACTED]
26,9,04:57:00,Participation - Positively acknowledges citizens views,[REDACTED]
